walker H2O CH4 CO2 CO log_delta log_gamma Tint Tequ log_Ptrans alpha log_g R
  13 -1.95091588276 -3.92084003212 -3.45764010478 -1.33976200653 -4.80160791628 0.575889865689 314.748187429 1717.30286411 -4.76960807443 0.447895700535 3.77254859792 1.1691735307
  14 -1.9910397324 -3.90867318256 -3.53597249029 -1.34787296291 -4.84230975641 0.56949608663 312.813242023 1717.16174691 -4.85710219569 0.467900700308 3.95883360581 1.1986811461
  15 -1.9106109874 -3.94845210576 -3.45159870042 -1.36086569706 -4.83818638141 0.609921762156 311.380299024 1721.00822089 -4.75712558776 0.59511416168 3.86828395455 1.1457502101
  16 -1.96423230779 -3.70144075613 -3.51140590465 -1.38866917594 -4.65928452494 0.450086492249 320.988076695 1711.86489244 -4.45700514003 0.892351910372 3.46948813896 1.12452738481
  17 -1.94010701473 -3.86742199485 -3.53525441342 -1.32726634508 -4.86636048818 0.579878561072 312.084455044 1718.52097321 -4.77738508148 0.546813159598 3.93529833863 1.18066838993
  18 -1.96148105689 -3.85700108754 -3.51820963692 -1.39760071356 -4.81792405658 0.544278883583 305.391807057 1714.00908232 -4.77910229543 0.395133293023 3.89107181597 1.17343158162
  19 -1.9253552937 -3.91727056438 -3.48217509431 -1.37199405128 -4.7906717183 0.561352441936 308.288767812 1719.310324 -4.76360113064 0.525508090788 3.89087890005 1.16906384902
  20 -1.90202771804 -3.87594401768 -3.5436957349 -1.41076961833 -4.79871175374 0.538746422816 313.199610113 1720.20919026 -4.6958080285 0.436113674611 3.82986671603 1.15829396642
  21 -1.93444660098 -3.87566219078 -3.51327322966 -1.35632300415 -4.84865502631 0.542000380741 305.992305728 1721.77930802 -4.72035680446 0.567874649728 3.83062974722 1.20174389028
  22 -1.92953914225 -3.91918347852 -3.50013473342 -1.34860531642 -4.76406207212 0.587658707413 314.629316684 1720.26786809 -4.68152840042 0.506469485534 3.82691958111 1.13390016399
  23 -1.96989907203 -3.90385344744 -3.51172338459 -1.36889467578 -4.7849302293 0.624452247026 307.665373711 1719.58553782 -4.81487409998 0.536660714228 3.91635433386 1.18485231237
  24 -1.97665816435 -3.92134375736 -3.46433324414 -1.34615848686 -4.80857925193 0.5505627548 313.862742563 1715.25961318 -4.72811169953 0.565948930461 3.80312904101 1.19864739946
  25 -1.8958322905 -3.87427483757 -3.57378953587 -1.37445854286 -4.7460356808 0.637672199883 309.617709363 1723.03770084 -4.7924757986 0.559782710655 3.98322045914 1.1227899056
  26 -1.87689267932 -3.99059512975 -3.49131341007 -1.36725511983 -4.77542764403 0.529348335557 308.338548849 1715.16117136 -4.6170905412 0.475579310355 3.92694471906 1.16931234063
  27 -1.98175942298 -3.93387728737 -3.575380839 -1.44004729211 -4.77677112309 0.607234273104 312.740753835 1719.71739008 -4.73938700627 0.474033859356 3.71056403055 1.11288188795
  28 -1.9193685371 -3.93056498162 -3.49899229069 -1.40033518424 -4.81824658918 0.565932895998 311.830418993 1717.61875212 -4.72327178731 0.580831720136 3.94753098333 1.19070428556
  29 -1.94708504341 -3.86533556553 -3.53181922021 -1.38931599004 -4.75437767698 0.567199833274 310.353160331 1717.18790949 -4.75312003888 0.508591303017 3.84122386446 1.17049538313
   0 -1.82735735415 -4.10288568766 -3.47298888783 -1.35174366837 -4.75413599897 0.471331201029 304.917999909 1717.84962116 -4.48747621509 0.466163293401 3.95409756642 1.1617566297
   1 -1.99484001001 -3.92774984748 -3.42324018396 -1.49527980659 -4.61848307745 0.566992128929 312.907775345 1704.38596474 -4.89313848769 0.356216218421 3.66537313019 1.17238089325
   2 -1.9810027606 -3.94077801578 -3.45490927335 -1.44267797769 -4.69747781784 0.63538440163 301.268486559 1718.19965588 -4.74085138772 0.556822656223 3.88445285099 1.16919718333
   3 -1.98970775752 -3.94638117938 -3.50481469827 -1.38082136321 -4.7587923202 0.615556121328 310.078726124 1714.49570751 -4.70060924283 0.465825803788 3.75365305738 1.18914472583
   4 -1.91466090354 -3.8891509137 -3.54237816226 -1.37275687972 -4.76311990101 0.603098512695 310.030763751 1720.62819795 -4.77681365669 0.521248925415 3.90317047485 1.1574689416
   5 -1.92696790168 -3.87173608473 -3.44277735923 -1.39646473203 -4.82523809138 0.656344950246 311.858706751 1718.76361375 -4.7140438196 0.70524533326 3.76803351088 1.04495178268
   6 -2.0067952818 -4.01001085687 -3.53281992103 -1.41728369275 -4.7280416934 0.577157635601 308.755921883 1708.14861564 -4.55986179331 0.727956845739 3.8747178426 1.15051429821
   7 -1.88353078715 -3.93463956144 -3.42218478556 -1.37670911751 -4.76712848704 0.587562928435 311.407562606 1720.66770769 -4.69906346846 0.392036810857 3.98145398636 1.13355413324
   8 -1.92757055657 -3.82121491521 -3.54920288286 -1.36030981481 -4.82582982387 0.593174631404 314.87116246 1717.28074319 -4.81745371391 0.278245473303 3.82274146374 1.125619241
   9 -1.97601836344 -3.94935055376 -3.4482437131 -1.33227680743 -4.80706203853 0.566922772729 310.797003194 1721.68116631 -4.84656211483 0.605505903066 3.93007824281 1.2225324885
  10 -1.90442424975 -3.95354388564 -3.46745402206 -1.40960752361 -4.77226052285 0.564722269666 303.897176038 1721.80356358 -4.79739453349 0.624086025319 3.98539189486 1.13406517339
  11 -1.9860629824 -3.94026713434 -3.47644245267 -1.38858072131 -4.77267909212 0.589550174263 309.296842638 1715.73442431 -4.81248765384 0.540599766012 3.94311088698 1.2232394273
  12 -1.98625016534 -3.89277828672 -3.44131051843 -1.39244822327 -4.82437923752 0.59789857553 305.518905611 1719.09682325 -4.81706569973 0.581426218811 3.93499837837 1.2116064677
  13 -1.95091588276 -3.92084003212 -3.45764010478 -1.33976200653 -4.80160791628 0.575889865689 314.748187429 1717.30286411 -4.76960807443 0.447895700535 3.77254859792 1.1691735307
  14 -1.9910397324 -3.90867318256 -3.53597249029 -1.34787296291 -4.84230975641 0.56949608663 312.813242023 1717.16174691 -4.85710219569 0.467900700308 3.95883360581 1.1986811461
  15 -1.9106109874 -3.94845210576 -3.45159870042 -1.36086569706 -4.83818638141 0.609921762156 311.380299024 1721.00822089 -4.75712558776 0.59511416168 3.86828395455 1.1457502101
  16 -1.96423230779 -3.70144075613 -3.51140590465 -1.38866917594 -4.65928452494 0.450086492249 320.988076695 1711.86489244 -4.45700514003 0.892351910372 3.46948813896 1.12452738481
  17 -1.94010701473 -3.86742199485 -3.53525441342 -1.32726634508 -4.86636048818 0.579878561072 312.084455044 1718.52097321 -4.77738508148 0.546813159598 3.93529833863 1.18066838993
  18 -1.96148105689 -3.85700108754 -3.51820963692 -1.39760071356 -4.81792405658 0.544278883583 305.391807057 1714.00908232 -4.77910229543 0.395133293023 3.89107181597 1.17343158162
  19 -1.93642493979 -3.91894002439 -3.47278614327 -1.39163476871 -4.76324025688 0.562250903387 309.024624291 1716.93271661 -4.78423779398 0.498538115058 3.85495345924 1.16959228905
  20 -1.90202771804 -3.87594401768 -3.5436957349 -1.41076961833 -4.79871175374 0.538746422816 313.199610113 1720.20919026 -4.6958080285 0.436113674611 3.82986671603 1.15829396642
  21 -1.92728979959 -3.89422781935 -3.50235073509 -1.36902509799 -4.83044391806 0.547416880098 305.492863597 1721.78509012 -4.7387212464 0.581274454681 3.86752232582 1.18561047251
  22 -1.92953914225 -3.91918347852 -3.50013473342 -1.34860531642 -4.76406207212 0.587658707413 314.629316684 1720.26786809 -4.68152840042 0.506469485534 3.82691958111 1.13390016399
  23 -1.98243214372 -3.93991347723 -3.51888955167 -1.3853316763 -4.76560607369 0.608386999144 308.035816055 1715.70059228 -4.72825036429 0.601641050867 3.90221106187 1.17318822015
  24 -1.97665816435 -3.92134375736 -3.46433324414 -1.34615848686 -4.80857925193 0.5505627548 313.862742563 1715.25961318 -4.72811169953 0.565948930461 3.80312904101 1.19864739946
  25 -1.8958322905 -3.87427483757 -3.57378953587 -1.37445854286 -4.7460356808 0.637672199883 309.617709363 1723.03770084 -4.7924757986 0.559782710655 3.98322045914 1.1227899056
  26 -1.87135368842 -3.99581474783 -3.49383310826 -1.36931236806 -4.77346863276 0.525865736865 307.858929918 1715.00091327 -4.60567799502 0.477650813013 3.93849783577 1.16932272746
  27 -2.02256432796 -4.01871348519 -3.59509317262 -1.50009062572 -4.73982929802 0.617821361958 311.13652907 1721.55221615 -4.68060178344 0.6214650019 3.62609299793 1.10329049925
  28 -1.91316071651 -3.93246114591 -3.49578924038 -1.40487921419 -4.81616235123 0.565624269246 311.745291502 1717.65833575 -4.71168002912 0.590613271954 3.94655200352 1.19001336756
  29 -1.94708504341 -3.86533556553 -3.53181922021 -1.38931599004 -4.75437767698 0.567199833274 310.353160331 1717.18790949 -4.75312003888 0.508591303017 3.84122386446 1.17049538313
   0 -1.82735735415 -4.10288568766 -3.47298888783 -1.35174366837 -4.75413599897 0.471331201029 304.917999909 1717.84962116 -4.48747621509 0.466163293401 3.95409756642 1.1617566297
   1 -2.02390213438 -3.93213282901 -3.39859053746 -1.54684432529 -4.54646482709 0.569350939521 314.83968467 1698.14382102 -4.94731775157 0.285409547397 3.57105488184 1.17376825376
